index,senate_budget_medicaid_id,senate_budget_hospital,safety_county,gannett,safety_hosptial_type,hospital_address_full_fha,safety_ownership,safety_total_ownership,gov_worksheet_base_add_on_in_patient,gov_worksheet_base_add_on_out_patient,senate_budget_in_patient_add_on,senate_budget_outpatient_add_on,senate_in_patient_cuts,senate_out_patient_cuts,senate_savings,senate_cut_percentage,safety_total_XIX_utilization_per_hospital_percent_2015,house_tier,house_add_on_percentage_keep,house_new_in_patient_add_on,house_new_out_patient_add_on,house_in_patient_cuts,house_out_patient_cuts,house_add_on_savings,gov_charitable_purpose_percent,gov_savings,lat,lng
49,120057,LARKIN COMMUNITY HOSPITAL,Miami-Dade,No,Investor-Owned,"7031 S.W. 62nd Ave. South Miami, FL 33143-4701",null,null," 1,252,285 "," 329,415 "," 843,969 "," 222,007 "," 408,316 "," 107,408 "," 515,724 ", 33 , 19 , 4 , -   , -   , -   ," 1,252,285 "," 329,415 "," 1,581,700 ", 155 , -   ,25.7055657,-80.2930992
38,102130,WELLINGTON REGIONAL MEDICAL CENTER,Palm Beach,No,Investor-Owned,"10101 Forest Hill Blvd. Wellington, FL 33414-6103","Universal Health Services, Inc.","Universal Health Services, Inc."," 1,199,941 "," 374,596 "," 808,692 "," 252,457 "," 391,249 "," 122,139 "," 513,388 ", 33 , 22 , 4 , -   , -   , -   ," 1,199,941 "," 374,596 "," 1,574,537 ", (148)," 1,574,537 ",26.6520588,-80.2052152
143,103144,PHYSICANS REGIONAL MEDICAL CENTER,Collier,Yes,Investor-Owned,"6101 Pine Ridge Rd. Naples, FL 34119-3900",Health Management Associates,Health Management Associates," 1,528,245 ", -   ," 1,029,951 ", -   ," 498,294 ", -   ," 498,294 ", 33 , 9 , 4 , -   , -   , -   ," 1,528,245 ", -   ," 1,528,245 ", 25 ," 1,528,245 ",26.213832,-81.7325884
10,100625,WESTCHESTER GENERAL HOSPITAL,Miami-Dade,No,Investor-Owned,"2500 S.W. 75th Ave. Miami, FL 33155-2805",null,null," 1,387,463 "," 28,068 "," 935,072 "," 18,916 "," 452,391 "," 9,152 "," 461,543 ", 33 , 30 , 3 , 20 ," 277,493 "," 5,614 "," 1,109,970 "," 22,454 "," 1,132,425 ", 309 , -   ,25.7474336,-80.317674
61,101354,HEALTH CENTRAL,Orange,No,Public/Government,"10000 W. Colonial Dr. Ocoee, FL 34761-3400",null,null," 1,029,883 "," 262,048 "," 694,083 "," 176,605 "," 335,800 "," 85,443 "," 421,243 ", 33 , 17 , 4 , -   , -   , -   ," 1,029,883 "," 262,048 "," 1,291,931 ", 63 , -   ,28.549928,-81.5278629
13,120308,COLUMBIA HOSPITAL,Palm Beach,No,Investor-Owned,"2201 45th St. West Palm Beach, FL 33407-2047",HCA East Florida Division,HCA," 1,026,237 "," 199,473 "," 691,626 "," 134,434 "," 334,611 "," 65,039 "," 399,650 ", 33 , 29 , 3 , 20 ," 205,247 "," 39,895 "," 820,990 "," 159,578 "," 980,568 ", (95), -   ,26.7619368,-80.0876123
138,119741,LARGO MEDICAL CENTER,Pinellas,No,Investor-Owned,"201 14th St., S.W. Largo, FL 33770-3133",HCA West Florida Division,HCA," 851,478 "," 145,049 "," 573,848 "," 97,755 "," 277,630 "," 47,294 "," 324,924 ", 33 , 9 , 4 , -   , -   , -   ," 851,478 "," 145,049 "," 996,527 ", 34 ," 996,527 ",27.9150149,-82.8036373
77,109606,CORAL GABLES HOSPITAL,Miami-Dade,No,Investor-Owned,"3100 Douglas Rd. Coral Gables, FL 33134-6914",Tenet HealthSystem,Tenet HealthSystem," 795,352 ", -   ," 536,022 ", -   ," 259,330 ", -   ," 259,330 ", 33 , 15 , 4 , -   , -   , -   ," 795,352 ", -   ," 795,352 ", (151), -   ,25.7435083,-80.2547701
173,116483,ANN BATES LEACH EYE HOSPITAL,Miami-Dade,No,Not-For-Profit,"900 N.W. 17th St. Miami, FL 33136-1119",University of Miami Health System,University of Miami Health System," 3,807 "," 770,123 "," 2,566 "," 519,019 "," 1,241 "," 251,104 "," 252,345 ", 33 , 4 , 4 , -   , -   , -   ," 3,807 "," 770,123 "," 773,930 ", 3 ," 773,930 ",25.7909979,-80.2106781
3,25766,SHRINERS CHILDRENS HOSPITAL,Hillsborough,No,Not-For-Profit,"12502 USF Pine Dr. Tampa, FL 33612-9411",null,null," 340,761 "," 186,590 "," 229,654 "," 125,751 "," 111,107 "," 60,839 "," 171,946 ", 33 , 51 , 1 , 73 ," 249,071 "," 136,383 "," 91,690 "," 50,207 "," 141,897 ", -   , -   ,28.0615781,-82.4228441
66,120413,BARTOW REGIONAL MEDICAL CENTER,Polk,No,Not-For-Profit,"2200 Osprey Blvd. Bartow, FL 33830-3308",BayCare Health System,BayCare," 340,957 "," 169,740 "," 229,785 "," 114,395 "," 111,172 "," 55,345 "," 166,517 ", 33 , 16 , 4 , -   , -   , -   ," 340,957 "," 169,740 "," 510,697 ", 250 , -   ,27.9179801,-81.8440247
78,101494,FLORIDA HOSPITAL ZEPHYRHILLS,Pasco,No,Not-For-Profit,"7050 Gall Blvd. Zephyrhills, FL 33541-1347",Adventist Health System,Adventist Health System, -   ," 361,367 ", -   ," 243,541 ", -   ," 117,826 "," 117,826 ", 33 , 14 , 4 , -   , -   , -   , -   ," 361,367 "," 361,367 ", 336 , -   ,28.26093,-82.1880149
201,100722,SAINT LUKES HOSPITAL,Duval,No,Not-For-Profit,"4500 San Pablo Rd. Jacksonville, FL 32224-1865",null,null," 201,553 "," 46,342 "," 135,835 "," 31,232 "," 65,718 "," 15,110 "," 80,828 ", 33 , 2 , 4 , -   , -   , -   ," 201,553 "," 46,342 "," 247,895 ", 3 ," 247,895 ",30.2844987,-81.437629
150,120090,DELRAY MEDICAL CENTER,Palm Beach,No,Investor-Owned,"5352 Linton Blvd. Delray Beach, FL 33484-6514",Tenet HealthSystem,Tenet HealthSystem," 93,719 "," 17,624 "," 63,161 "," 11,877 "," 30,558 "," 5,747 "," 36,305 ", 33 , 8 , 4 , -   , -   , -   ," 93,719 "," 17,624 "," 111,343 ", 22 ," 111,342 ",26.437016,-80.1278184
102,101192,LOWER KEYS MEDICAL CENTER,Monroe,No,Investor-Owned,"1200 Kennedy Dr. Key West, FL 33040-4023",Health Management Associates,Health Management Associates," 1,521,187 "," 153,729 "," 1,521,187 "," 153,729 ", -   , -   , -   , -   , 13 , 4 , -   , -   , -   ," 1,521,187 "," 153,729 "," 1,674,916 ", 16 ," 1,674,916 ",24.5642616,-81.7675071
30,100331,LAKE SHORE,Columbia,No,Investor-Owned,"368 N.E. Franklin St. Lake City, FL 32055-3088",Health Management Associates,Health Management Associates," 984,792 "," 404,482 "," 984,792 "," 404,482 ", -   , -   , -   , -   , 24 , 4 , -   , -   , -   ," 984,792 "," 404,482 "," 1,389,274 ", 111 , -   ,30.1930709,-82.6325991
63,101061,JACKSON HOSPITAL,Jackson,No,Public/Government,"4250 Hospital Dr. Marianna, FL 32446-1917",Quorum Health Resources,Quorum Health Resources," 837,261 "," 349,384 "," 837,261 "," 349,384 ", -   , -   , -   , -   , 16 , 4 , -   , -   , -   ," 837,261 "," 349,384 "," 1,186,645 ", 119 , -   ,30.786751,-85.241891
96,113514,PUTNAM COMMUNITY MEDICAL CENTER,Putnam,No,Investor-Owned,"611 Zeagler Dr. Palatka, FL 32177-3810",HCA West Florida Division,HCA," 747,266 "," 294,591 "," 747,266 "," 294,591 ", -   , -   , -   , -   , 13 , 4 , -   , -   , -   ," 747,266 "," 294,591 "," 1,041,857 ", (20), -   ,29.644807,-81.694311
90,101923,DESOTO MEMORIAL HOSPITAL,DeSoto,No,Not-For-Profit,"900 N. Robert Ave. Arcadia, FL 34266-8712",Arcadia,Arcadia," 651,689 "," 304,035 "," 651,689 "," 304,035 ", -   , -   , -   , -   , 14 , 4 , -   , -   , -   ," 651,689 "," 304,035 "," 955,724 ", (406), -   ,27.2274746,-81.8508116
81,119750,H.H. RAULERSON,Okeechobee,No,Investor-Owned,"1796 Hwy. 441, N. Okeechobee, FL 34972-1918",HCA East Florida Division,HCA," 493,495 "," 313,265 "," 493,495 "," 313,265 ", -   , -   , -   , -   , 13 , 4 , -   , -   , -   ," 493,495 "," 313,265 "," 806,760 ", 8 ," 806,760 ",27.259828,-80.828549
92,103233,SACRED HEART OF THE EMERALD COAST,Walton,No,Not-For-Profit,"7800 US Highway 98, W. Miramar Beach, FL 32550-7228","Sacred Heart Health System, Inc.","Sacred Heart Health System, Inc."," 532,427 "," 225,819 "," 532,427 "," 225,819 ", -   , -   , -   , -   , 13 , 4 , -   , -   , -   ," 532,427 "," 225,819 "," 758,246 ", 25 ," 758,246 ",30.378368,-86.306956
148,101893,FLORIDA HOSPITAL FLAGLER,Flagler,No,Not-For-Profit,"60 Memorial Medical Pkwy. Palm Coast, FL 32164-5980",Adventist Health System,Adventist Health System," 401,308 "," 273,172 "," 401,308 "," 273,172 ", -   , -   , -   , -   , 8 , 4 , -   , -   , -   ," 401,308 "," 273,172 "," 674,480 ", 9 ," 674,480 ",29.4791799,-81.1894316
116,101231,BAPTIST MEDICAL CENTER - NASSAU,Nassau,No,Not-For-Profit,"1250 S. 18th St. Fernandina Beach, FL 32034-3098",Baptist Health,Baptist Health," 358,242 "," 104,479 "," 358,242 "," 104,479 ", -   , -   , -   , -   , 12 , 4 , -   , -   , -   ," 358,242 "," 104,479 "," 462,721 ", 10 ," 462,721 ",30.65306,-81.448631
84,101800,DOCTORS MEMORIAL HOSPITAL,Taylor,No,Not-For-Profit,"333 N. Byron Butler Pkwy. Perry, FL 32347-2300",null,null," 173,640 "," 248,164 "," 173,640 "," 248,164 ", -   , -   , -   , -   , 14 , 4 , -   , -   , -   ," 173,640 "," 248,164 "," 421,804 ", (667), -   ,30.1201475,-83.5930863
5,101443,GLADES GENERAL HOSPITAL,Palm Beach,No,Public/Government,"39200 Hooker Hwy. Belle Glade, FL 33430-5368",null,null," 771,274 "," 250,831 "," 771,274 "," 250,831 ", -   , -   , -   , -   , 41 , 2 , 62 ," 478,190 "," 155,515 "," 293,084 "," 95,316 "," 388,400 ", (161), -   ,26.7241903,-80.671271
39,101036,DOCTORS MEMORIAL HOSPITAL,Holmes,No,Public/Government,"2600 Hospital Dr. Bonifay, FL 32425-4264",null,null," 141,280 "," 140,430 "," 141,280 "," 140,430 ", -   , -   , -   , -   , 22 , 4 , -   , -   , -   ," 141,280 "," 140,430 "," 281,710 ", (154), -   ,30.7609176,-85.6832562
144,100072,STARKE,Bradford,No,Investor-Owned,"922 E. Call St. Starke, FL 32091-3616",Health Management Associates,Health Management Associates," 91,185 "," 188,317 "," 91,185 "," 188,317 ", -   , -   , -   , -   , 8 , 4 , -   , -   , -   ," 91,185 "," 188,317 "," 279,502 ", 155 , -   ,29.9420583,-82.1023286
136,101796,LIVE OAK,Suwannee,No,Investor-Owned,"1100 S.W. 11th St. Live Oak, FL 32064-3608",Health Management Associates,Health Management Associates," 29,847 "," 222,733 "," 29,847 "," 222,733 ", -   , -   , -   , -   , 9 , 4 , -   , -   , -   ," 29,847 "," 222,733 "," 252,580 ", 21 ," 252,580 ",30.2899154,-83.0035999
151,100862,HENDRY REGIONAL MEDICAL CENTER,Hendry,No,Public/Government,"524 W. Sagamore Ave. Clewiston, FL 33440-3514",Quorum Health Resources,Quorum Health Resources," 91,679 "," 150,661 "," 91,679 "," 150,661 ", -   , -   , -   , -   , 8 , 4 , -   , -   , -   ," 91,679 "," 150,661 "," 242,340 ", 286 , -   ,26.7533275,-80.9414508
204,102601,FLORIDA HOSPITAL - WAUCHULA,Hardee,No,Not-For-Profit,"533 Carlton St. Wauchula, FL 33873-3407",Adventist Health System,Adventist Health System," 21,396 ", -   ," 21,396 "," 187,017 ", -   , -   , -   , -   , 1 , 4 , -   , -   , -   ," 21,396 "," 187,017 "," 208,413 "," (14,439)", -   ,27.5354504,-81.8169147
164,101907,NORTHWEST FLORIDA COMMUNITY HOSPITAL,Washington,No,Investor-Owned,"1360 Brickyard Rd. Chipley, FL 32428-6303",null,null," 45,334 ", -   ," 45,334 "," 162,056 ", -   , -   , -   , -   , 6 , 4 , -   , -   , -   ," 45,334 "," 162,056 "," 207,390 ", (17)," 45,334 ",30.76626,-85.542884
131,101737,JAY HOSPITAL,Santa Rosa,Yes,Not-For-Profit,"14114 Alabama St. Jay, FL 32565-1219",Baptist Health Care,Baptist Health Care," 84,750 "," 83,922 "," 84,750 "," 83,922 ", -   , -   , -   , -   , 10 , 4 , -   , -   , -   ," 84,750 "," 83,922 "," 168,672 ", (58), -   ,30.950148,-87.150953
97,101885,HEALTHMARK REGIONAL MEDICAL CENTER,Walton,No,Investor-Owned,"4413 US Highway 331, S. DeFuniak Springs, FL 32435-6307",Healthmark Corporation,null," 77,166 "," 88,740 "," 77,166 "," 88,740 ", -   , -   , -   , -   , 13 , 4 , -   , -   , -   ," 77,166 "," 88,740 "," 165,906 ", -   ," 165,906 ",30.6599519,-86.117635
180,101214,MARINERS HOSPITAL,Monroe,No,Not-For-Profit,"91500 Overseas Hwy. Tavernier, FL 33070-2547",Baptist Health South Florida,Baptist Health South Florida," 52,960 "," 58,964 "," 52,960 "," 58,964 ", -   , -   , -   , -   , 3 , 4 , -   , -   , -   ," 52,960 "," 58,964 "," 111,924 ", 36 ," 111,924 ",25.0059575,-80.5220346
123,108227,LAKE BUTLER HOSPITAL,Union,No,Investor-Owned,"850 E. Main St. Lake Butler, FL 32054-1353",null,null," 15,171 "," 82,022 "," 15,171 "," 82,022 ", -   , -   , -   , -   , 11 , 4 , -   , -   , -   ," 15,171 "," 82,022 "," 97,193 "," 3,311 ", -   ,30.0226626,-82.3268683
34,101141,NATURE COAST REGIONAL HEALTH NETWORK,Levy,No,Investor-Owned,"125 S.W. 7th St. Williston, FL 32696-2403",Cypress Health Systems,Cypress Health Systems," 69,520 "," 23,674 "," 69,520 "," 23,674 ", -   , -   , -   , -   , 22 , 4 , -   , -   , -   ," 69,520 "," 23,674 "," 93,194 ", 14 , -   ,29.383637,-82.454997
208,101206,FISHERMENS HOSPITAL,Monroe,No,Not-For-Profit,"3301 Overseas Hwy. Marathon, FL 33050-2329",Quorum Health Resources,Quorum Health Resources," 42,011 "," 47,680 "," 42,011 "," 47,680 ", -   , -   , -   , -   , 1 , 4 , -   , -   , -   ," 42,011 "," 47,680 "," 89,691 ", (7)," 89,691 ",24.7101862,-81.0945495
125,20127,SACRED HEART HOSPITAL ON THE GULF,Gulf,No,Not-For-Profit,"3801 E. Highway 98 Port St. Joe, FL 32456-5318","Sacred Heart Health System, Inc.","Sacred Heart Health System, Inc."," 44,315 "," 35,823 "," 44,315 "," 35,823 ", -   , -   , -   , -   , 11 , 4 , -   , -   , -   ," 44,315 "," 35,823 "," 80,138 ", (13), -   ,29.7788835,-85.2882072
142,100803,GEORGE E. WEEMS MEMORIAL HOSPITAL,Franklin,No,Public/Government,"135 Avenue G Apalachicola, FL 32320-1613",null,null," 26,085 "," 52,919 "," 26,085 "," 52,919 ", -   , -   , -   , -   , 9 , 4 , -   , -   , -   ," 26,085 "," 52,919 "," 79,004 ", (399), -   ,29.7226166,-84.989883
21,100269,CALHOUN LIBERTY HOSPITAL,Calhoun,No,Not-For-Profit,"20370 N.E. Burns Ave. Blountstown, FL 32424-1045",null,null," 35,866 "," 34,101 "," 35,866 "," 34,101 ", -   , -   , -   , -   , 27 , 3 , 20 ," 7,173 "," 6,820 "," 28,693 "," 27,281 "," 55,974 ", (71), -   ,30.458695,-85.050003
168,101150,MADISON COUNTY MEMORIAL HOSPITAL,Madison,No,Not-For-Profit,"224 N.W. Crane Ave. Madison, FL 32340-1400",null,null," 9,285 "," 31,590 "," 9,285 "," 31,590 ", -   , -   , -   , -   , 5 , 4 , -   , -   , -   ," 9,285 "," 31,590 "," 40,875 ", (111), -   ,30.4704794,-83.4199344
190,100048,ED FRASER MEMORIAL HOSPITAL,Baker,No,Public/Government,"159 N. 3rd St. Macclenny, FL 32063-2103",null,null, 489 ," 26,195 ", 489 ," 26,195 ", -   , -   , -   , -   , 2 , 4 , -   , -   , -   , 489 ," 26,195 "," 26,684 ", (85)," 26,684 ",30.2850541,-82.1189973
28,100587,SOUTH MIAMI HOSPITAL,Miami-Dade,No,Not-For-Profit,"6200 S.W. 73rd St. Miami, FL 33143-4679",Baptist Health South Florida,Baptist Health South Florida, -   , -   , -   , -   , -   , -   , -   , -   , 25 , 3 , 20 , -   , -   , -   , -   , -   , 37 , -   ,25.7035412,-80.293897
32,120243,WEST BOCA MEDICAL CENTER,Palm Beach,No,Investor-Owned,"21644 State Road 7 Boca Raton, FL 33428-1842",Tenet HealthSystem,Tenet HealthSystem, -   , -   , -   , -   , -   , -   , -   , -   , 23 , 4 , -   , -   , -   , -   , -   , -   , 81 , -   ,26.355958,-80.1992168
35,111741,ORANGE PARK MEDICAL CENTER,Clay,No,Investor-Owned,"2001 Kingsley Ave. Orange Park, FL 32073-5148",HCA North Florida Division,HCA, -   , -   , -   , -   , -   , -   , -   , -   , 22 , 4 , -   , -   , -   , -   , -   , -   , 77 , -   ,30.1659644,-81.7376226
40,101508,MORTON PLANT NORTH BAY HOSPITAL,Pasco,No,Not-For-Profit,"6600 Madison St. New Port Richey, FL 34652-1971",BayCare - Morton Plant Mease Health Care,BayCare, -   , -   , -   , -   , -   , -   , -   , -   , 21 , 4 , -   , -   , -   , -   , -   , -   , (193), -   ,28.254315,-82.714474
43,101745,SANTA ROSA MEDICAL CENTER,Santa Rosa,Yes,Investor-Owned,"6002 Berryhill Rd. Milton, FL 32570-5062",Health Management Associates,Health Management Associates, -   , -   , -   , -   , -   , -   , -   , -   , 20 , 4 , -   , -   , -   , -   , -   , -   , 39 , -   ,30.6344146,-87.0669535
45,111325,FORT WALTON BEACH MEDICAL CENTER,Okaloosa,No,Investor-Owned,"1000 Mar-Walt Dr. Ft. Walton Beach, FL 32547-6708",HCA North Florida Division,HCA, -   , -   , -   , -   , -   , -   , -   , -   , 20 , 4 , -   , -   , -   , -   , -   , -   , 49 , -   ,30.454478,-86.633621
47,119806,CAPITAL REGIONAL MEDICAL CENTER,Leon,Yes,Investor-Owned,"2626 Capital Medical Blvd. Tallahassee, FL 32308-4402",HCA North Florida Division,HCA, -   , -   , -   , -   , -   , -   , -   , -   , 20 , 4 , -   , -   , -   , -   , -   , -   , 50 , -   ,30.4759766,-84.2318819
50,101524,GOOD SAMARITAN MEDICAL CENTER,Palm Beach,No,Investor-Owned,"1309 N. Flagler Dr. West Palm Beach, FL 33401-3406",Tenet HealthSystem,Tenet HealthSystem, -   , -   , -   , -   , -   , -   , -   , -   , 19 , 4 , -   , -   , -   , -   , -   , -   , 108 , -   ,26.7251532,-80.0518887
55,101931,MEMORIAL HOSPITAL JACKSONVILLE,Duval,No,Investor-Owned,"3625 University Blvd., S. Jacksonville, FL 32216-4207",HCA North Florida Division,HCA, -   , -   , -   , -   , -   , -   , -   , -   , 18 , 4 , -   , -   , -   , -   , -   , -   , 52 , -   ,30.2878473,-81.6011644
57,104591,NORTHWEST MEDICAL CENTER,Broward,No,Investor-Owned,"2801 N. State Road 7 Margate, FL 33063-5727",HCA East Florida Division,HCA, -   , -   , -   , -   , -   , -   , -   , -   , 17 , 4 , -   , -   , -   , -   , -   , -   , 68 , -   ,26.2631014,-80.2029486
59,100897,HIGHLANDS REGIONAL MEDICAL CENTER,Highlands,No,Investor-Owned,"3600 S. Highlands Ave. Sebring, FL 33870-5416",Health Management Associates,Health Management Associates, -   , -   , -   , -   , -   , -   , -   , -   , 17 , 4 , -   , -   , -   , -   , -   , -   , (182), -   ,27.4656878,-81.432977
67,32265,WEST KENDALL,Miami-Dade,No,Not-For-Profit,"9555 S.W. 162nd Ave. Miami, FL 33196-6408",Baptist Health South Florida,Baptist Health South Florida, -   , -   , -   , -   , -   , -   , -   , -   , 16 , 4 , -   , -   , -   , -   , -   , -   , 56 , -   ,25.6785523,-80.4559629
70,101028,UNIVERSITY COMMUNITY HOSPITAL - TAMPA,Hillsborough,No,Not-For-Profit,"3100 E. Fletcher Ave. Tampa, FL 33613-4613",Adventist Health System,Adventist Health System, -   , -   , -   , -   , -   , -   , -   , -   , 16 , 4 , -   , -   , -   , -   , -   , -   , 180 , -   ,28.0714161,-82.423589
74,100111,WUESTHOFF MEDICAL CENTER - ROCKLEDGE,Brevard,Yes,Investor-Owned,"110 Longwood Ave. Rockledge, FL 32955-2828",Health Management Associates,Health Management Associates, -   , -   , -   , -   , -   , -   , -   , -   , 15 , 4 , -   , -   , -   , -   , -   , -   , 201 , -   ,28.335224,-80.723195
79,119849,TOWN & COUNTRY HOSPITAL,Hillsborough,No,Investor-Owned,"6001 Webb Rd. Tampa, FL 33615-3241",IASIS Healthcare,null, -   , -   , -   , -   , -   , -   , -   , -   , 14 , 4 , -   , -   , -   , -   , -   , -   , (282), -   ,28.0026904,-82.574123
82,108626,NORTH FLORIDA REGIONAL MEDICAL CENTER,Alachua,No,Investor-Owned,"6500 W. Newberry Rd. Gainesville, FL 32605-4309",HCA North Florida Division,HCA, -   , -   , -   , -   , -   , -   , -   , -   , 14 , 4 , -   , -   , -   , -   , -   , -   , 23 , -   ,29.6603042,-82.4115721
83,101711,FLAGLER HOSPITAL,St. Johns,No,Not-For-Profit,"400 Health Park Blvd. St. Augustine, FL 32086-5784",null,null, -   , -   , -   , -   , -   , -   , -   , -   , 14 , 4 , -   , -   , -   , -   , -   , -   , 154 , -   ,29.8632208,-81.3173601
86,120375,AVENTURA HOSPITAL & MEDICAL CEN,Miami-Dade,No,Investor-Owned,"20900 Biscayne Blvd. Aventura, FL 33180-1407",HCA East Florida Division,HCA, -   , -   , -   , -   , -   , -   , -   , -   , 14 , 4 , -   , -   , -   , -   , -   , -   , 32 , -   ,25.96994,-80.14533
87,101788,CENTRAL FLORIDA REGIONAL HOSPITAL,Seminole,No,Investor-Owned,"1401 W. Seminole Blvd. Sanford, FL 32771-6743",HCA West Florida Division,HCA, -   , -   , -   , -   , -   , -   , -   , -   , 14 , 4 , -   , -   , -   , -   , -   , -   , 98 , -   ,28.8146209,-81.2836352
88,101095,FLORIDA HOSPITAL WATERMAN,Lake,No,Not-For-Profit,"1000 Waterman Way Tavares, FL 32778-5266",Adventist Health System,Adventist Health System, -   , -   , -   , -   , -   , -   , -   , -   , 14 , 4 , -   , -   , -   , -   , -   , -   , 150 , -   ,28.823794,-81.714703
89,101877,MEMORIAL HOSPITAL - WEST VOLUSIA,Volusia,No,Not-For-Profit,"701 W. Plymouth Ave. DeLand, FL 32720-3236",Adventist Health System,Adventist Health System, -   , -   , -   , -   , -   , -   , -   , -   , 14 , 4 , -   , -   , -   , -   , -   , -   , 119 , -   ,29.0438523,-81.3174744
91,105520,COMMUNITY HOSPITAL,Pasco,No,Investor-Owned,"9330 State Road 54 Trinity, FL 34655-1808",HCA West Florida Division,HCA, -   , -   , -   , -   , -   , -   , -   , -   , 13 , 4 , -   , -   , -   , -   , -   , -   ," (5,157)", -   ,28.2038799,-82.6599125
95,112801,UNIVERSITY HOSPITAL & MEDICAL C,Broward,No,Investor-Owned,"7201 N. University Dr. Tamarac, FL 33321-2913",HCA East Florida Division,HCA, -   , -   , -   , -   , -   , -   , -   , -   , 13 , 4 , -   , -   , -   , -   , -   , -   , 131 , -   ,26.21211,-80.2544482
98,100099,CAPE CANAVERAL HOSPITAL,Brevard,Yes,Not-For-Profit,"701 W. Cocoa Beach Cswy. Cocoa Beach, FL 32931-3585","Health First, Inc.","Health First, Inc.", -   , -   , -   , -   , -   , -   , -   , -   , 13 , 4 , -   , -   , -   , -   , -   , -   , 20 , -   ,28.3600539,-80.6230916
100,101117,LEHIGH REGIONAL MEDICAL CENTER,Lee,Yes,Investor-Owned,"1500 Lee Blvd. Lehigh Acres, FL 33936-4835",Health Management Associates,Health Management Associates, -   , -   , -   , -   , -   , -   , -   , -   , 12 , 4 , -   , -   , -   , -   , -   , -   , (324), -   ,26.6158716,-81.6594828
101,111341,SOUTHWEST FLORIDA REGIONAL MEDICAL CENTE,Lee,Yes,Public/Government,"13681 Doctors Way Ft. Myers, FL 33912-4300",Lee Memorial Health System,Lee Memorial Health System, -   , -   , -   , -   , -   , -   , -   , -   , 13 , 4 , -   , -   , -   , -   , -   , -   , 93 , -   ,26.5441756,-81.8504152
103,100943,UNIVERSITY COMMUNITY HOSP. - CARROLLWOOD,Hillsborough,No,Not-For-Profit,"7171 N. Dale Mabry Hwy. Tampa, FL 33614-2665",Adventist Health System,Adventist Health System, -   , -   , -   , -   , -   , -   , -   , -   , 12 , 4 , -   , -   , -   , -   , -   , -   , 101 , -   ,28.0136077,-82.5038008
104,101117,LEHIGH REGIONAL MEDICAL CENTER,null,No,null,"1500 Lee Blvd. Lehigh Acres, FL 33936-4835",null,null, -   , -   , -   , -   , -   , -   , -   , -   , 12 , 4 , -   , -   , -   , -   , -   , -   , (324), -   ,26.6158716,-81.6594828
107,32975,PALM BAY,Brevard,Yes,Not-For-Profit,"1425 Malabar Rd., N.E. Palm Bay, FL 32907-2506","Health First, Inc.","Health First, Inc.", -   , -   , -   , -   , -   , -   , -   , -   , 12 , 4 , -   , -   , -   , -   , -   , -   , 123 , -   ,27.9983893,-80.6127116
108,101176,MUNROE REGIONAL MEDICAL CENTER,Marion,No,Investor-Owned,"1500 S.W. 1st Ave. Ocala, FL 34471-6504",null,null, -   , -   , -   , -   , -   , -   , -   , -   , 12 , 4 , -   , -   , -   , -   , -   , -   , (269), -   ,29.1753878,-82.138785
109,101087,SOUTH LAKE HOSPITAL,Lake,No,Not-For-Profit,"1900 Don Wickham Dr. Clermont, FL 34711-1979",Orlando Health,Orlando Health, -   , -   , -   , -   , -   , -   , -   , -   , 12 , 4 , -   , -   , -   , -   , -   , -   , 20 , -   ,28.552044,-81.720865
110,100901,FLORIDA HOSPITAL HEARTLAND MED. CTR.,Highlands,No,Not-For-Profit,"4200 Sun n Lake Blvd. Sebring, FL 33872-1986",Adventist Health System,Adventist Health System, -   , -   , -   , -   , -   , -   , -   , -   , 12 , 4 , -   , -   , -   , -   , -   , -   , 49 , -   ,27.5391589,-81.5099593
111,103730,ST LUKES ST VINCENTS,Duval,No,Not-For-Profit,"4201 Belfort Rd. Jacksonville, FL 32216-1431",St. Vincents HealthCare,St. Vincents HealthCare, -   , -   , -   , -   , -   , -   , -   , -   , 12 , 4 , -   , -   , -   , -   , -   , -   , 100 , -   ,30.2537775,-81.5826747
113,100285,PEACE RIVER REGIONAL MEDICAL CENTER,Charlotte,No,Investor-Owned,"2500 Harbor Blvd. Port Charlotte, FL 33952-5000",Health Management Associates,Health Management Associates, -   , -   , -   , -   , -   , -   , -   , -   , 12 , 4 , -   , -   , -   , -   , -   , -   , 53 , -   ,26.9890508,-82.0955944
115,101613,HELEN ELLIS MEMORIAL HOSPITAL,Pinellas,No,Not-For-Profit,"1395 S. Pinellas Ave. Tarpon Springs, FL 34689-3790",Adventist Health System,Adventist Health System, -   , -   , -   , -   , -   , -   , -   , -   , 12 , 4 , -   , -   , -   , -   , -   , -   , 118 , -   ,28.132767,-82.7575957
117,113212,WEST FLORIDA HOSPITAL,Escambia,Yes,Investor-Owned,"8383 N. Davis Hwy. Pensacola, FL 32514-6039",HCA West Florida Division,HCA, -   , -   , -   , -   , -   , -   , -   , -   , 12 , 4 , -   , -   , -   , -   , -   , -   , 49 , -   ,30.5153695,-87.2187566
118,101869,FLORIDA HOSPITAL ORMOND MEMORIAL,Volusia,No,Not-For-Profit,"264 S. Atlantic Ave. Ormond Beach, FL 32176-8149",Adventist Health System,Adventist Health System, -   , -   , -   , -   , -   , -   , -   , -   , 11 , 4 , -   , -   , -   , -   , -   , -   , 53 , -   ,29.2846562,-81.0369751
